Entity Name,Entity ID,Fiscal Year,1 year_Dollar-Weighted Rate of Return,3 year_Dollar-Weighted Rate of Return,5 year_Dollar-Weighted Rate of Return,1 year_Time-Weighted Rate of Return,3 year_Time-Weighted Rate of Return,5 year_Time-Weighted Rate of Return,"Annual Money-Weight Rate of Return, Net of Investment Expense %"
Contra Costa County Employees' Retirement Association,7259,2023,,,,-10.6,3.6,4.4,-11.02
Contra Costa Water District Retirement Plan,7172,2023,11,,,,,,11
Desert Hospital Retirement Protection Plan,7398,2023,9.59,,,1.34,0.58,1.26,9.59
East Bay Municipal Utility District Employees' Retirement System,7168,2023,10.6,7.7,6.2,,,,10.96
Fresno County Employees' Retirement Association,7260,2023,9.32,,,9.2,7.6,5.9,9.32
Golden Gate Transit District Amalgamated Retirement Plan,7144,2023,-13,2.1,2.7,,,,13
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2023,8.14,3.96,4.93,,,,8.18
Imperial County Employees' Retirement System,7261,2023,,,,7.4,8.4,6.8,5.1
Judges' Retirement System I,7205,2023,4.5,,,,,,4.5
Judges' Retirement System II,7206,2023,7.1,,,7.1,4.9,5.2,7.1
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2023,9.97,,,,,,9.97
Kern County Employees' Retirement Association,7262,2023,5.9,8.1,6.5,,,,6.7
Legislators' Retirement System,7207,2023,0.6,,,0.8,0.7,3.1,0.6
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2023,,,,9.7,21.06,24.42,9.6
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2023,,,,6,20.6,22.38,6.1
Los Angeles City Employees' Retirement System,7237,2023,,,,6.93,8.79,6.71,7.1
Los Angeles County Employees' Retirement Association,7263,2023,6.4,,,6.4,10.1,7.6,6.4
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2023,,,,8.8,6.9,6.3,8.8
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2023,,,,8.8,6.9,6.3,8.8
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2023,8.8,6.9,6.3,,,,8.8
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2023,,,,8.8,6.9,6.3,8.8
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2023,,,,8.8,6.9,6.3,8.8
Marin County Employees' Retirement Association,7264,2023,9.3,8,6.7,6.35,8.16,6.71,6.95
Marin County Transit District Service Credit Replacement Plan,13268,2023,7.07,,,,,,19.11
Mendocino County Employees' Retirement Association,7265,2023,,,,8.29,8.84,6.66,8.32
Merced County Employees' Retirement Association,7266,2023,,,,7.9,8.5,7.5,7.8
Modesto Irrigation District Basic Retirement Plan,7186,2023,-16.89,2.45,3.97,,,,-17.05
Orange County Employees' Retirement System,7267,2023,,,,-7.84,6.16,6.12,-7.88
Public Agency Retirement System Defined Benefit Plans,7215,2023,5.1,,,,,,5.1
Public Employees' Retirement Fund (PERF) A,12892,2023,6.1,,,5.8,6.4,6.1,6.1
Public Employees' Retirement Fund (PERF) B,12893,2023,,,,5.8,6.4,6.1,6.1
