Entity Name,Entity ID,Fiscal Year,Actuarially Determined Contributions_Employer Contributions,Contributions in Relation to the Actuarially Determined Contributions_Employer Contributions,Contribution Deficiency (Excess)_Employer Contributions,Covered-Employee Payroll_Employer Contributions,Contributions as a Percentage of Covered-Employee Payroll_Employer Contributions
City of San Clemente Restated Employees' Retirement Plan,7244,2017,1188000,1188000,0,488000,243.44
City of San Jose Federated City Employees' Retirement System,7249,2017,138483000,138483000,0,271153000,51.07
City of San Jose Police and Fire Retirement Plan,7250,2017,136957000,136957000,0,188177000,72.78
City of Santa Barbara Police and Fire Pension Fund,7248,2017,,120000,-120000,0,0
Contra Costa County Employees' Retirement Association,7259,2017,307457143,307457143,0,755138882,41
Contra Costa Water District Retirement Plan,7172,2017,6502000,7075304,-573304,28065323,25.21
Desert Hospital Retirement Protection Plan,7398,2017,928460,3400000,-2471540,0,0
East Bay Municipal Utility District Employees' Retirement System,7168,2017,65218000,65218000,0,174586000,0
Fresno County Employees' Retirement Association,7260,2017,198472000,198472000,0,386345000,1
Golden Gate Transit District Amalgamated Retirement Plan,7144,2017,6666000,3967000,2699000,22713000,18.05
Imperial County Employees' Retirement System,7261,2017,21000000,21000000,0,114539000,18.33
Judges' Retirement System I,7205,2017,448636000,204475000,244161000,39413000,518.8
Judges' Retirement System II,7206,2017,67102000,67102000,0,291097000,23.05
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2017,6879390,9000000,-2120610,0,0
Kern County Employees' Retirement Association,7262,2017,224351000,224351000,0,546671000,41.04
Legislators' Retirement System,7207,2017,0,516000,-516000,1360000,37.94
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2017,6018860,6018860,0,31258000,19.26
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2017,2030220,3130220,-1100000,6843000,45.74
Los Angeles City Employees' Retirement System,7237,2017,453356059,453356059,0,1973048633,0
Los Angeles County Employees' Retirement Association,7263,2017,1392812667,1392812667,0,7637031557,
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2017,1574797,1574797,0,2198826,71.62
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2017,25066222,25422884,-356662,142665000,17.82
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2017,4565358,4565358,0,3447137,132.44
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2017,22011433,22011433,0,192342001,11.44
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2017,5956685,5956685,0,39763754,14.98
Marin County Employees' Retirement Association,7264,2017,77502945,77502945,0,242045311,32.02
Mendocino County Employees' Retirement Association,7265,2017,19116426,19116426,0,59801480,0
Merced County Employees' Retirement Association,7266,2017,60349000,60349000,0,119621964,50.45
Modesto Irrigation District Basic Retirement Plan,7186,2017,11781408,11853754,-72346,38211146,31.02
Orange County Employees' Retirement System,7267,2017,521447000,567196000,-45749000,1602675000,35
Public Agency Retirement System Defined Benefit Plans,7215,2017,596978,596978,0,0,0
Public Employees' Retirement Fund (PERF) A,12892,2017,,,0,0,0
Public Employees' Retirement Fund (PERF) B,12893,2017,1767813000,1767813000,0,12643354000,13.98
Public Employees' Retirement Fund (PERF) C,12894,2017,858954000,858954000,0,3631919000,23.65
Sacramento County Employees' Retirement System,7268,2017,201928000,201928000,0,958934000,21.06
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2017,7987367,7987367,0,30212311,26.44
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2017,3315379,3315379,0,12473480,
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2017,7321138,7321138,0,23435642,31.24
San Bernardino County Employees' Retirement Association,7269,2017,360477890,360477890,0,1346408000,0
San Diego City Employees' Retirement System,7246,2017,279465000,281121000,-1656000,529917000,1
San Diego County Employees' Retirement Association,7270,2017,418011364,418011364,0,1181479673,35.38
San Diego Transit Corporation Employees' Retirement Plan,7200,2017,12649101,12649101,0,31660643,39.95
San Francisco City and County Employees' Retirement System,7247,2017,551809000,551809000,0,3041818000,18.14
San Joaquin County Employees' Retirement Association,7271,2017,159122523,159122523,0,392227314,41
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2017,1952000,1952000,0,8672000,0
San Luis Obispo County Pension Trust,7272,2017,37663802,35451409,2212393,180728417,0
San Mateo County Employees' Retirement Association,7273,2017,164877000,198727000,-33850000,510132014,0.39
Santa Barbara County Employees' Retirement System,7274,2017,121991000,121991000,0,341098000,35.76
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2017,27383634,27383634,0,131544000,21
Self-Insured Schools of California Defined Benefit Plan,7183,2017,3494025,4137716,-643691,94039000,4.39
Sonoma County Employees' Retirement Association,7275,2017,63639564,63639564,0,329077958,0
Stanislaus County Employees' Retirement Association,7276,2017,63024560,63024560,0,255646515,24.65
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2017,1175179,1171779,3400,9306674,0
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2017,1053887,1043297,10590,4429828,23.55
Tulare County Employees' Retirement Association,7277,2017,33615885,33615885,0,243366102,13.81
Turlock Irrigation District Pension Plan,7187,2017,12975179,15279421,-2304242,35244750,43.35
University of California Retirement Plan,7211,2017,2654710000,2556576000,98134000,11301506000,22.62
Ventura County Employees' Retirement Association,7278,2017,190759001,190759001,0,716033000,26.64
West Contra Costa Healthcare District Successor Retirement Plan,8275,2017,,,0,0,0
