Entity Name,Entity ID,Fiscal Year,Actuarially Determined Contributions_Employer Contributions,Contributions in Relation to the Actuarially Determined Contributions_Employer Contributions,Contribution Deficiency (Excess)_Employer Contributions,Covered-Employee Payroll_Employer Contributions,Contributions as a Percentage of Covered-Employee Payroll_Employer Contributions
City of Concord Retirement System,7230,2023,2670000,6606208,-3936208,0,0
City of Delano Employee Pension Plan,7235,2023,1861914,2048532,-186618,9924784,20.64
City of El Cerrito Employees' Pension Trust Fund,7225,2023,85000,85000,0,85000,100
City of Emeryville Pension Plan,7221,2023,100090,,100090,0,0
City of Eureka Fire and Police Retirement System,7233,2023,,,,0,0
City of Fresno Employees' Retirement System,7232,2023,22236117,22236117,0,186218911,11.94
City of Fresno Fire and Police Retirement System,7231,2023,27067935,27067935,0,134251602,20.16
City of Irvine Safety Defined Benefit Pension Plan,7243,2023,539700,594717,-55017,272177,218.5
City of Los Angeles Fire and Police Pension System,7236,2023,481824295,481824295,0,1608133494,29.96
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2023,372208000,361585859,10622141,1259245870,28.71
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2023,21068,21068,0,0,0
City of Manhattan Beach Supplemental Retirement Plan,7241,2023,12612,12612,0,0,0
City of Oakland Fire and Police Retirement System,7222,2023,32712000,32712000,0,0,0
City of Pasadena Fire and Police Retirement System,7239,2023,,,,0,0
City of Piedmont Police and Fire Pension Plan,7224,2023,,,,0,0
City of Richmond Garfield Pension Plan,7229,2023,12408,12408,0,0,0
City of Richmond General Pension Plan,7227,2023,152897,152897,0,0,0
City of Richmond Police and Firemen's Pension Plan,7228,2023,,,,0,0
City of Sacramento City Employees' Retirement System,7245,2023,0,0,0,103000,0
City of San Clemente Restated Employees' Retirement Plan,7244,2023,1745000,1797000,-52000,443149,405.51
City of San Jose Federated City Employees' Retirement System,7249,2023,199440000,199440000,0,386315000,51.63
City of San Jose Police and Fire Retirement Plan,7250,2023,201750000,201750000,0,254356000,79.32
City of Santa Barbara Police and Fire Pension Fund,7248,2023,0,0,0,0,0
Contra Costa County Employees' Retirement Association,7259,2023,348760348,348760348,0,1023662811,34.07
Contra Costa Water District Retirement Plan,7172,2023,12806804,14141907,-1335103,39341598,35.95
Desert Hospital Retirement Protection Plan,7398,2023,0,,0,0,0
East Bay Municipal Utility District Employees' Retirement System,7168,2023,91393000,91393000,0,233940000,39.07
Fresno County Employees' Retirement Association,7260,2023,242221000,242221000,0,470492000,51.48
Golden Gate Transit District Amalgamated Retirement Plan,7144,2023,8825000,4892000,3933000,15085000,32.43
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2023,366238,500000,-133762,2830804,17.66
Imperial County Employees' Retirement System,7261,2023,29345685,29345685,0,129235000,22.71
Judges' Retirement System I,7205,2023,313118000,208785000,104333000,20083000,1039.61
Judges' Retirement System II,7206,2023,89970000,89970000,0,378328000,23.78
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2023,4350330,0,4350330,0,0
Kern County Employees' Retirement Association,7262,2023,316838000,316838000,0,677026000,46.8
Legislators' Retirement System,7207,2023,44000,44000,0,138000,31.88
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2023,4148988,4148988,0,33739000,12.3
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2023,1191640,1372885,-181245,4133000,33.22
Los Angeles City Employees' Retirement System,7237,2023,669391196,669438196,-47000,2307335751,29.01
Los Angeles County Employees' Retirement Association,7263,2023,2301705589,2301705589,0,9425689967,24.42
Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan,9235,2023,675234,675234,0,941289,71.74
Los Angeles County Transportation Authority Maintenance Employees' Retirement System,7161,2023,31907426,36873562,-4966136,206922000,17.82
Los Angeles County Transportation Authority Non-Contract Employees' Retirement System,7162,2023,2026193,2026193,0,1624084,124.76
Los Angeles County Transportation Authority SMART - TD Retirement,7163,2023,19738072,19738072,0,250560476,7.88
Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System,7160,2023,8871242,8871242,0,58912951,15.06
Marin County Employees' Retirement Association,7264,2023,82313307,82313307,0,297919324,27.63
Marin County Transit District Service Credit Replacement Plan,13268,2023,27557,36925,-9368,0,0
Mendocino County Employees' Retirement Association,7265,2023,30309355,30309355,0,85729491,35.35
Merced County Employees' Retirement Association,7266,2023,68648166,68648166,0,150390441,45.65
Modesto Irrigation District Basic Retirement Plan,7186,2023,17335752,17335752,0,45824949,37.83
Orange County Employees' Retirement System,7267,2023,707318000,719691000,-12373000,1932374000,37.24
Public Agency Retirement System Defined Benefit Plans,7215,2023,965099,965099,0,0,0
Public Employees' Retirement Fund (PERF) A,12892,2023,,,,0,0
Public Employees' Retirement Fund (PERF) B,12893,2023,4391877000,4391877000,0,16275075000,26.99
Public Employees' Retirement Fund (PERF) C,12894,2023,1623130000,1755294000,-132164000,4723688000,37.16
Sacramento County Employees' Retirement System,7268,2023,360674000,360674000,0,1175393000,30.69
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2023,10500021,10500021,0,39651360,26.48
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2023,4495272,4495272,0,15215157,29.54
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2023,11561711,11561711,0,30417243,38.01
San Bernardino County Employees' Retirement Association,7269,2023,555741684,555891684,-150000,1663991000,33.41
San Diego City Employees' Retirement System,7246,2023,408444000,448664000,-40220000,598463000,74.97
San Diego County Employees' Retirement Association,7270,2023,660232826,669031033,-8798207,1553764933,43.06
San Diego Transit Corporation Employees' Retirement Plan,7200,2023,16157770,16157770,0,23631077,68.38
San Francisco City and County Employees' Retirement System,7247,2023,672651000,672651000,0,3994117000,16.84
San Joaquin County Employees' Retirement Association,7271,2023,243345220,269080047,-25734827,484055752,55.59
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2023,2554000,2554000,0,8202000,31.14
San Luis Obispo County Pension Trust,7272,2023,72095657,72095657,0,227731465,31.66
San Mateo County Employees' Retirement Association,7273,2023,238938203,248938203,-10000000,631144281,39.44
Santa Barbara County Employees' Retirement System,7274,2023,157307000,157307000,0,412151000,38.17
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2023,32632491,32632491,0,149576036,21.82
Self-Insured Schools of California Defined Benefit Plan,7183,2023,1429412,1746092,-316680,108946395,1.6
Sonoma County Employees' Retirement Association,7275,2023,70966000,76562000,-5596000,393355000,19.46
